"Sample IDs","Dilutions","MPR","MS","TtT","RAF"
"71",-1,8.35368956743003,2.46875884444444,14.7190909090909,0.067938978444815
"72",-1,1.1037037037037,0.207407333333333,72,0.0138888888888889
"73",-1,1.12727272727273,0.219336088888889,72,0.0138888888888889
"74",-1,2.9572864321608,0.508096044444444,43.4905956112853,0.0229934767722637
"75",-1,1.0761421319797,0.218838266666667,72,0.0138888888888889
"76",-1,1.11528150134048,0.2252012,72,0.0138888888888889
"77",-1,1.17379679144385,0.211526977777778,72,0.0138888888888889
"P",-3,7.35324675324675,2.20721502222222,8.99088145896657,0.111223799864773
"67",-1,1.14021164021164,0.213991555555556,72,0.0138888888888889
"68",-1,1.09273182957393,0.2105264,72,0.0138888888888889
"69",-1,1.1325,0.197777777777778,72,0.0138888888888889
"70",-1,1.14066496163683,0.204603555555556,72,0.0138888888888889
"71",-1,6.58866995073892,1.7832512,19.6974637681159,0.0507679573254851
"72",-1,1.11910669975186,0.201819822222222,72,0.0138888888888889
"73",-1,3.25970873786408,0.914778844444444,65.6123139377537,0.0152410415055427
"74",-1,1.0433734939759,0.185274311111111,72,0.0138888888888889
"75",-1,1.06,0.196666666666667,72,0.0138888888888889
"76",-1,2.33163265306122,0.3979592,64.2991071428571,0.0155523154898285
"77",-1,1.10539845758355,0.189659911111111,72,0.0138888888888889
"N",-3,1.15659340659341,0.184371333333333,72,0.0138888888888889
"78",-1,1.17073170731707,0.205961866666667,72,0.0138888888888889
"79",-1,1.1,0.197150977777778,72,0.0138888888888889
"80",-1,1.14099216710183,0.1856688,72,0.0138888888888889
"81",-1,1.15681233933162,0.188517777777778,72,0.0138888888888889
"82",-1,1.14099216710183,0.193791866666667,72,0.0138888888888889
"83",-1,1.12371134020619,0.184421422222222,72,0.0138888888888889
"84",-1,1.13846153846154,0.185754755555556,72,0.0138888888888889
"85",-1,1.10344827586207,0.185086977777778,72,0.0138888888888889
"86",-1,1.13746630727763,0.1784964,72,0.0138888888888889
"87",-1,1.1078167115903,0.189278088888889,72,0.0138888888888889
"88",-1,1.12228260869565,0.193236888888889,72,0.0138888888888889
"N",-3,1.08793969849246,0.164154044444444,72,0.0138888888888889
"78",-1,1.10051546391753,0.195876177777778,72,0.0138888888888889
"79",-1,1.09113300492611,0.1882868,72,0.0138888888888889
"80",-1,1.10852713178295,0.199827822222222,72,0.0138888888888889
"81",-1,1.12871287128713,0.182618088888889,72,0.0138888888888889
"82",-1,1.09223300970874,0.174757155555556,72,0.0138888888888889
"83",-1,1.11029411764706,0.196078533333333,72,0.0138888888888889
"84",-1,1.11720698254364,0.187309422222222,72,0.0138888888888889
"85",-1,1.13720316622691,0.191146266666667,72,0.0138888888888889
"86",-1,1.09226932668329,0.196176,72,0.0138888888888889
"87",-1,1.13066666666667,0.195555555555556,72,0.0138888888888889
"88",-1,1.15281501340483,0.197795777777778,72,0.0138888888888889
"N",-3,1.14467005076142,0.1714608,72,0.0138888888888889
"78",-1,1.07654320987654,0.196433288888889,72,0.0138888888888889
"79",-1,1.13589743589744,0.206267822222222,72,0.0138888888888889
"80",-1,1.10148514851485,0.187018666666667,72,0.0138888888888889
"81",-1,1.0925,0.205555555555556,72,0.0138888888888889
"82",-1,1.14356435643564,0.185918755555556,72,0.0138888888888889
"83",-1,1.12285012285012,0.18018,72,0.0138888888888889
"84",-1,1.09,0.181111111111111,72,0.0138888888888889
"85",-1,1.10677083333333,0.192129555555556,72,0.0138888888888889
"86",-1,1.1505376344086,0.18638,72,0.0138888888888889
"87",-1,1.1020942408377,0.180337333333333,72,0.0138888888888889
"88",-1,1.13351498637602,0.190130133333333,72,0.0138888888888889
"N",-3,1.11794871794872,0.152706577777778,72,0.0138888888888889
"78",-1,1.08142493638677,0.174159022222222,72,0.0138888888888889
"79",-1,1.12698412698413,0.176366666666667,72,0.0138888888888889
"80",-1,1.09511568123393,0.187375066666667,72,0.0138888888888889
"81",-1,1.12727272727273,0.175468977777778,72,0.0138888888888889
"82",-1,1.1340206185567,0.171821244444444,72,0.0138888888888889
"83",-1,1.10327455919395,0.157850533333333,72,0.0138888888888889
"84",-1,1.13874345549738,0.164048711111111,72,0.0138888888888889
"85",-1,1.1820580474934,0.174728622222222,72,0.0138888888888889
"86",-1,1.15027322404372,0.191863866666667,72,0.0138888888888889
"87",-1,1.14171122994652,0.190136755555556,72,0.0138888888888889
"88",-1,1.12299465240642,0.178253288888889,72,0.0138888888888889
"P",-3,1.6890756302521,0.275630222222222,72,0.0138888888888889
"1027",-1,1.06837606837607,0.0630577777777778,72,0.0138888888888889
"1028",-1,1.05218855218855,0.0583615555555555,72,0.0138888888888889
"1029",-1,1.09605488850772,0.062512,72,0.0138888888888889
"P",-3,1.91130434782609,0.347053155555556,72,0.0138888888888889
"1027",-1,1.07958477508651,0.0653596444444445,72,0.0138888888888889
"1028",-1,1.09274873524452,0.0689525777777778,72,0.0138888888888889
"1029",-1,1.07060755336617,0.0510854222222222,72,0.0138888888888889
"P",-3,1.53472222222222,0.1820988,72,0.0138888888888889
"1027",-1,1.07439446366782,0.0699730222222223,72,0.0138888888888889
"1028",-1,1.07131011608624,0.0611756,72,0.0138888888888889
"1029",-1,1.11333333333333,0.071852,72,0.0138888888888889
